comment,sentiment
the opposition cant take this idiot modi onwe can the people,-1
well done modi sir are proud you namo again 2019,1
good see indians across the world want modi again,1
highest india last years says govts report gift voters,0
mahendra singh dhoni have move supreme court india get his crore dues back from amrapali ericsson for its 553 crore from modi mate anil ambanis rcom thats the state economy under modi explained,0
from wikileaks diplomatic cable the discussion with manmohan singh and tim roemer rahul gandhi said that the bigger threat the hindutva movement led the likes narendra modi,0
opposition has hours make their move modi fireworks start 28th ,0
have become modi maniac dont visit psychiatrist,0
caution humour only the culprit made fashionable pronounce modi just caught modi was the original modi sir raman had quipped can transfer noble award transfer murugappa chennaveerappa modi alas,1
will kill all voted again says take whatever you want but make again,0
sure this time also will huge win for modi for our nation,1
cong fields sons ashok gehlot jaswant singh first list candidates read updates,1
someones paying this chic other chics swati rupa pagalika etcvery handsomely they all guns blazing against the government election eve says its jobless growth modi has kept employment the entire media industry which revolves around either hating lovin him,1
plz stop itwe fighting our war our constitutional rights this issue well highli8ed shows our strength our has taken notice civil society secular brothers wid against injustice dis dont modis indiaplz wake minorities living,0
you didnt believe modi some time back and fiercely attacked him but now sant and you are his favourite bhakt,0
liberandus for every positive thing give credit nehru for every negative thing criticize modi,-1
former will contest against watch  youtube facebook,0
you read one story today read this expose about how our forests water and land are given away modi govt that rich friend from back home leader foot,1
she only loves when modi does,0
wait what didnt modi finished black money india,-1
sir apke jaise log economics padhke ate nahi aur bak bak karte avg gdp india 0414 was avg gdp india 1419 bolo kya ghanta economy badhi point no2 manmohan time inflation rupee was during his period modi time yrs,0
modi govt forms 8member elite squad kill kashmir terror financing via thanks,1
swach bharath just one more chance modi become our for another years all gathabandhans will disappear and india will truly become swach bharath,1
what modi did last 5years can you list,0
narendra modi was the longest serving gujarat now will the longest serving prime minister our country agree tweet you also agree,0
single window clearance under startup india already there angle tax brought under your govt already been looked into tax for years for startups already there thank you but want only modi govt,-1
this time bjp win largest seat all our nation 400 eak baar phir modi sarkar,1
from nehru rajiv nehrugandhis excelled business not letting poor rise above poverty line their electoral victory weakened this business making poor rich,-1
dear you guys think cant well without plz note mrs modi doing extremely well without him from last years,-1
can modi point out where his tea shop was the gujarat map,0
you are not serious modi,1
watch these lines have touched heart lata mangeshkar records modis poem for jawans and will give you goosebumps calls inspiring,1
next election modi our prime minister and next too  proud moment for every indian but persons like you are again rajneeti will support modi and,1
heres prime minister modis statement indias successful first antisatellite weapon test today,1
you agree that modi gave these comedians alots content,0
modi india has successfully tested the antisatellite asat missile congratulations everyone the success congress thank you nehru for starting isro,1
you are wrong modi rahul whoever has specify from where the money will come will increasing income tax and gst from their own pockets,1
all rss people excellent human beings when advaniji was action seculars condemned him noticed one them while mourning rajivji death saying why didnt happen advanisuch was abhorrence modi whom interviewed also best human,1
this new india where the govt not afraid making bold decisions this modis that can strike space also thanks for strengthen our defence system and making and will the proud moment for,1
idea and aspirations india youthful leader rahulji who for todays solution problemsmodi for what happened past and today cronies full swing public has already decided will press the right button this time for better india,1
ram manohar lohia would have been proud nda government modi via namo app,1
dats great news iam loving modi are you loving,1
sensing modis victory bigger than 2014 this not prediction this confidence,0
modi not taking credit isro and drdo chief are praising govt,0
modi bjp backs acquittal hindu men train bombing,0
time anybody for such nonsense events with only one purpose target modi directly indirectly,1
never vote for modi,0
dear want special standup episode just modi arnab rtv its not request situations demand this,1
what have you and your modi done these years for this for that matter for pandit community its better you leave this hate and apologize for all the bigotry have done last years one day you might welcome here like every pandit,1
indira tasted defeat when her party leaders said indira india modi should not end that way,0
just antimodi have you accomplished something your life,1
nirav modi has been siphoning these monies since before 2010 when congress was power and couldnt have siphoned such large sums without support man enough own your responsibilities sushma swaraj would cleaning your mess entire india understands this,1
clean cheat modi address nation mission shakti did not violate poll code elections news the indian express via,1
sir advertise each and every work done favour bastians under modi let the gap winning votes touch scale lacs best wishes   ,1
how possible dry fish sukat can veg food because modi sarkaar rahul gandhis new scheme for poor vegans please take action,-1
your family your member earn good then you will announce the good news others that modi head family declare this space achievement,1
more strong reason vote for modi,1
pnb defaulter nirav modis lawyer gives peculiar reason for pleading bailsaysnirav got dog his house none there look after and his son studying the universityhe doesnt have citizenship other countries question escapingjudge rejected his bail,-1
asking what your mission sakti right wrong your scientific captain scientist modi,-1
same way that modi paid the lakhs into our bank accounts,0
this boy perfect blend modi jaitley,1
krkyou are amuch better person than the regular bollywood wallahsyou reviews are vwry honesti follow all ykur reviews but then dont poke your nose abusing modipaise gaali dene kaam band kar dootherwise you will loose your fan base,-1
umm that was war which won this strike one knows the real details but then expecting logic from the likes you illogical hain naa,1
nothing more expected from you everyone know who have loans malya and modi please sit quite and see how you loose 2019,1
yet see news channel other than who make even fart anti modis becomes national news,-1
download watch live,1
voterspl dont seriou onfreebies rahuls congressallyesmerly election stuntsr agendaless with single point program2capture powerput peoples anarcism kejriwal example public domainsame status with regional partyvotes experienced modi govt with excellency,1
with aadhaar indeed does narendra modi but the real issue modi and shah have been cheating all bjp leaders like anything while depriving even lord ram and his bhakts ram mandir,1
growth per modi directives niti aayog modi has made joke indian statistics also though world looks him joke now,0
modi say thankyounehru,0
the will required for upa could not dare modi did bravo,0
voters modi after this address you just want attention you don want heart,0
prime issues assam find place modi speech tarun gogoi and apcc president ripun bora criticize,0
chowkidars today some young people are behind modi speech kindly know the political history karnataka and what devagowdaji did karnataka from how many years are seeing politics dont insult any person instead debate development program,1
don give rupee give narendra modi one vote this poor man campaigning for modi barefoot under the scorching sun for his love towards country with immense love and blessings indians who can stop bjp from coming power again namo namo,1
last someone has deciphered opposition parties will have copy modi permanent campaign trick sooner later via,0
bhim army chief chandrasekhar azad had announced his candidature from varanasi thursday and had vowed take prime minister narendra modi his own constituency,1
from connectivity industrial development north east today powerhouse truly becoming the new engine indias growth this true development only possible under modi govt via namo,1
first tell about the degree less degrees your godman narendra modi and his mistress smriti irani,1
how can you negative can allow negative party and negative mindset this country vote for positivity vote for progressive and inclusive thinking vote for development vote for bjp jai bhim jai bjp jai modi,-1
nation which achieved secularism,0
its the new election slogan modi and means that also army person jesay main bhi nawaz nara mara tha patwarion nay wesay main bhi chowkidar nara bjp,1
you can chose just one statement and ignore all other and partially agree with him though not all but many who are anti modi wouldn mind taking anti national stand just oppose modi,1
modi never answer his failure dont expect truth from currently busy doing campaign time,-1
there used whole agentsaffron adjacent side twitter that used blame the lack more virulent hindutva campaign modis caste,1
yet modi has start campaigning,0
modi live from aasam watch,1
this gargantuan intellect was claiming the other day that modi govt antiscience whereas was the con govt that disallowed science project like mission shakti but course con govt did gift this guy illdeserved padmabhushan for peddling garbage history,-1
really looking forward this one with modi,1
now bjp will not allow nirav modi extradited india will spill the beans and all those who have got the booty from him will exposedhe better off london,1
with jobs vanished after 2014 its wonder that modi sarkar stopped the jobs survey labour ministry next time vote for qualified with competent cabinet educated expert team,1
correction you are happy with modi not and lot people the are actually happy with trump well,1
you your modi are antiindia dont forget that your fenku bring pakistans secret agency isi here pathankot india because was planned terrorist attack our iaf soldiers you your fenku your agenda building new syria india bhagwa terorism,-1
modi mission shakti important step towards securing indias safety economic growth and technological advancement,1
hope this not the modi apples the nirav lalit type,0
becoming hurting gradually always moditoday the convict named shah now only the print mediadarkest role,1
dont worry modi will hush the matter not position engage with pak,0
modi has congratulated all the scientists involved making success,1
why will jawan sacrifice his job highlight the corruption ongoing organisation part all including jawans are human first and should treated same,1
under the dynasty rule people remained deprived various welfare services but under the vision narendra modi worlds largest healthcare scheme was introduced which provided beneficiaries with free medical treatment via mynt,1
did modi just tell arnab goswami that did not want wingh commander abhinandan back from pakistans captivity for electoral reasons,0
unfortunately the same can said true about the socalled pseudoliberals that hate modi havent you being doing the same for modis actions,-1
yes once again modi,0
who said mission shakthis credit goes modi does not scientists also the credit goes rahul gandhi was the main person for this upa2 where was not sitting parliament even used take leave and roam around the globe achieve this mission,1
mnrega payment generation within days 201314 upa 201718 201819 until july despite this gandhi family brazenly lies that modi has stopped payments and neutral journalist will question them,0
this modis tenure can expect mob lynchers hatemongers rapists are garlanded and applauded,0
bjp president not know thamizh language thamizh culture thamizh pride let her family teach about divine muthu ramalinga devar patriotic actions bjp became terrorists organization every bjp leader kill thamizh community every issue using modi people angry,-1
dont worry about modiwe know muslims hate modi,-1
bjp the best party present modi the best leader body fight,1
after may 2019 new india without modi,1
plea seeks stay release modi biopic bombay high court issues notice india news the indian express via,1
die hard fans these muslims because they have money the same way modi fan saudi arabia because have oil,-1
bjp reduced men army modishah,0
isro brain nehru sauchaley brain modi,0
modi taking full electoral benefit scientists,1
modi fooled the stupid media drdo press release usual procedure,-1
wayeven then one will vote for joshi the yrs was there people didnt see him much things went from bad worse under him not that they have improved much under modi kamlapati tripathi was the last one who truly worked hard for the city,-1
modi has not done good work then whey there fear opposition parties opposition helpless some political party did alliance just save the symbol their party and party came with short term plan eradicate poverty,1
this time facing fresh and young congress face mithun rai seen the congress its best bet stop the bjp juggernaut the dakshina kannada constituency has been bjp bastion for nearly three decades,1
election 2019 cong releases booklet titled 100 mistakes modi,0
all opposistion leaders agenda degrade indias achievemnet because the credit going dynamic leadership narender modi,0
thats she asking beggar indian need reinvent themselves they shld demand opportunities empowering them earn with respect and that exactly what modi doing,1
you just can learn anything good from modi and company except excellent marketing companies which are distressed they should hire modi their head marketing and then you will see the astonishing results,1
congress led upa   surgical strike dont air strike dont sat missile dont  modi sarkar 2014 surgical strike for air strike for asat missile for     ,0
please bring demonetization trouble that modi brought your speech,-1
there other choice modiji has come,-1
prime minister narendra modi announced the success mission shakti through which india used homegrown missile destroy satellite 300km above the earth some social media users started swapping,1
india airstrike pakistan hits gandhis election hopes family dynasty struggles overcome modis knack for reading national mood kiran sharma nikkei staff,0
dwaipayan why the surprise youve got the best example modi who and hates indian muslims its open fact and the community has live with,1
admit you only have weird conspiracy theories how sonia secret bhakt and enabled modi democratically elected like what modi rigged 2014,-1
this where you could have stopped praising drdo but you could not control yourself and had make dig modi this theatre then are people wrong calling your antics that joker also can you explain why your govt said this very test,-1
modis plan start indiapakistan was politically motivated gain through anti pakistan sentiments has such narrow vision,-1
modi winning pappu losing good for india,1
not mockery the poor chowkiders when modi and his cronies earning millions and billions prefix their names with chowkider while modis state gujarat real chowkider sacked for demanding minimum salary isnt true that sab fake,-1
swamy warned early stage show him gate but modi was too much under jaitleys impression will fix things,1
yes cos bigots tend vote together anti fascists must learn unite please dont not vote cos you are unhappy with the choices more secular govt hopefully with regional parties well represented will mean that our voices are heard not modi any other megalos,-1
modi anti national lies creates communal divide misleads with manipulated data,0
years old party cant fight alone this called modi khauf,1
focus your career madam instead modi your career goes well one fine day you will also get chance politics like your other colleagues,1
love you modi and want you again our jay hind,1
rahul congress sides economists global and natural effects modibjp sides economists natural and global effects inflation poor middle class weak economy,-1
still will buy and cast our vote modi,0
simple they absconded fear modi and his neutral policy now ask congress how come they all got such huge money funded upa time,1
wherever you are there attending rallies also job neither modi nor rahul gandhi pay,0
the cult slowly making the same,-1
drdo launched antimissile satellite narendra modi proud narendra modi,1
going leave amethi for wayanad like modi left vadodara for varanasi not then going there because afraid yes then amethi peopleplease keep this mind your times running away now from ppl,-1
election hai babulast time they did during election modi raaj mein every thing possible,0
but modi wasnt temple head modi comes from rss background but suspect yogi even have real power they have added two deputy looks like yogi just face like mms was and decision are taken deputy,1
because she supports modi,0
actually modi knew how fool innocent bhakts through lies specially rallies,1
most rahul gandhi ideas are modi ideas either made more complex scaled point where they become unaffordable and unimplementable,1
and read the speech mohd modi gave british parliament,0
the minds such personsfilled with cruelty because our education our political leaders specially modi modi alliances create the barrier padhega india badhega india,1
last years has always come out and announced all achievements the country true nationalnot like previous pms who couldnt even open their mouth front your madam modi the whom have chosen and will choose coming elections,1
daily rundown net scare for bjp salary hikes via,0
for bjp nda than opposition and gang congress mgb can dethrone narendra modi from power farmers laborers and landless people given 8000 per month 96000 per year for all including farm inputs and other expenses nothing for save our country from enemies hindu,-1
bjp smells huge bjp doesn belong leaders like narendra modi amit shah says nitin gadkari nitin gadkari some time tells the real truth more dependency modi shah associates pvt limited,1
modi replacement the making,0
now absolutely clear that narendra modi will reelected india again very popular among peoplethen opposition india will blame evm machine for their defeate,1
before 1947 india underdeveloping become developing constitution given gandhi mnrega womens scarves diksha aviyan medical facility bjp nothing contribution create modi kisan breojgari did modi they spent 30000 crore advertisement also yedrupa case 18000,-1
because modi india and india modi,0
after pulwama attack modi didn address the country modiji the first take credit for other peoples achievement,1
watched indeed when the crowd chants modimodimodi reflects the trust common people have you india supports you india believes you india needs you india will vote for you,-1
after all modi again,0
why didnt modi and company the true nationalist anything for years vajpayee was modi was for termsthey didnt have full power not brave enough called patriots bhagat singh took british his 20s and laid down his lifethese men well,1
modirahul now fray for 2024 not 2019 they have realised accepted great india reality just bypassing core issue joblessness aditya birla group,1
matter time tget say pple gave birth during modis tenure hence modi again,0
why shouldn modi get credit for balakot strike asks rajnath via news9 latest news,1
lok sabha election 2019 live updates address supporters main bhi chowkidar today rahul ktaka times now holiday inn,1
modi and are the two factors the bangalore south seat listen tejasvi surya via,0
how come you itself claim its historical dayyou and your party did nothing till todaymore than yours modi givingwe like modi because politics not business who give for next generationwe indians hate generation politicians,-1
president drdo scientists would done this announcement would happily praised but modi sorry the way hats our scientists,1
narendra modi today 27th march while ago india achieved historic feat india today registered itself space power till now countries the world america russia china had this achievement india the 4th country have achieved this feat source,0
read this caption lalit modi left 2010 and think that time congress were rule,0
 great see modi gaining the power again india wants him back our prime minister jahan suno wahan modi hai chahe desh videsh modi aap layak dubara banne liye aapki jai,1
why couldnt allow rajan serve 2nd term you didnt read earlier post rajan congress appointee was clandestinely wrecking the economy,0
modi tweeted would addressing the nation around 1145 1200 noon with important message watch the address television radio social media,1
our state bjp gen secty young dynamic leader shri tejasvi surya candidate from bengaluru south its very good news this early morning this can happen only bjp thanks central leadership team for the best choice narendra modi,1
its mins past using bsnl wifi ffs,-1
modi fought from two seats last time none them holy cow err gave ref cow forgive,-1
good luck modi,1
your kursi kumar nitish uncle slave modi once modi will give permission for campaign will come out better dont call backstabber uncle,1
hum nahi sudrengay modi trying away with income tax and congress trying increase the tax burden middle class the only people who pay,0
you need correct modi shah peshaab,0
not only has modi failed deliver his promise crore jobs year thanks his demonetisation disaster jobs various sectors have actually shrunk,-1
picture the day people are going vote for again because what northeast could not achieve years modi govt achieved lot the last four years,0
this man going derail the economy people have started adapting gst and now this man change tax system again easy bank credit create new nirav modi and malya,1
modi magic starts,1
prime minister narendra modi dsnt miss beat when comes getting media publicity especially national security some key voices indo pak military exchng and why australian space experts aren intrstd antisatellite missile,-1
along side can also ans what happen modi care insurance policy announced last budget what happen smart cityy jobs sell airports adani 100 fdi where black money data what saza should give you 50days over plz come the choraha,1
the time spread confusions gone now you have take decision its modi rahul baaki sab bakwas hai,0
india stands tall space power modi via,0
very important issue sale his jackets will decide modi will win lose you got right this time  congrats,1
absolutely correct congress party the proxy pakistan such rotten establishment devoid leadership skills harvard educated crooks rely harvard drop out save them from criminal prosecution national congress has become sonia congress modi for,-1
just goes show far from josh modi all about depression 100,1
already won states back back and that toohe has proved game changer and people are loving him has waived farmer loans states 3daysmodi hasnt done till now,1
seriously you must think avoiding these comical posts common man has good laugh understand your hate for modi and most from minority community share that sentiment but that doesn mean that you use that gap heap praise dynastic moron would make better,-1
only your fan modi jiand lotus simble for great india,1
keep dreaming jitega modi,0
exposing modi here why she still cooking chulha what happened ujwala scheme,0
brazen ideas modi,0
deshbhakti culture baat krne wali bjp angreji  esse modi aati bhai admit modi dimag gobar wtf  kanhaiya kumar know english btr than  jst want attach the ground lvl and connect with more people,0
all this already being done modi government your implementation will worse than your kannada,-1
sorry chowkidar modi isnt sure what address the nation took like casual live for the last years but the eleventh hour before the vote planned for serious address the nation without any experience and practice thats why late,-1
what klpd moments for bhakts lol though with they must used now great achievement but lets not lose our minds over was the culmination decades long space science program not modis own project,1
haaaw not going talk you you are deleting tweets true follower modi you are retreating from truth for you brave,1
banning all the separatists and putting some them behind bars workedfull freedom forces the only solution then but why didnt modi govt this earlier,-1
all you can after watching wonder how low arnab goswami has stooped journalist extent over excitement republic bharat team gaga over modi thats the parameter for their annual appraisal,0
modi has links godhra riots,0
kalyan singh working constitutional post governor not his wisdom canvasing for modi bjp still want one stop him step down from the post,-1
modi where the name ganghi faimily agusta approver evidence nets agusta middleman gupta via,0
india has successfully destroyed satellite india the 4th nation reach this position india has registered itseld space power modi,1
will correct all their mistakes trust have dreams for each one you,0
modi floundering due his arrogance rahul gandhi,-1
many people say modi might hurting today but long run for future doing good india will survive with the ideas modi long run this the general perception people office they too hate modi for todays deeds but say they are good for future,1
why such incidents happens with members pseudo liberals only despite circle being modi fan never heard anyone calling any muslims paki stop creating bullshit,0
india shoots down space hails major breakthrough,-1
india narendra modi battling for reelection gets questionable bollywood boost los angeles times,-1
published comment good news your comment has been approved narendra modi announces success mission shakti india antisatellite missile capability indian intelligence 2nd none mera bharath mahaan,1
his resignation letter congress president rahul gandhi sudhakara reddy says the traditions and values congress party have changed contrary its principles according pti,0
without government nod was not possible the feat modi has guts right things,1
great modi know who all are shivering with fear even before resultsthey know what place reserved for themno one will spared govt,1
juvenile the same note modis theatric speech was headache,-1
very much sure that modi next thinking 2024 want him chair 2024,1
not allowed speak against someone religion law said defense that was againt modi indian prime minister,0
nehru pratham sevak this much modi effect gandhis time change title again will rahul modi etc,1
whatever may but mrmodi last months journey did removed strap off eyes now stop watching films ads shows,0
did notice mam the you graduates employees wearing namo again shirt are campaigning door door for pure love for modi bangalore,1
sir come lets talk what happend million jobs promised modi what happend 100 smart cities what did get from demonetization what the state farmers today what happend make indiawhere are the fdis,1
todaywhen was coming bus the way talked man because his unfinished knowledgehe was criticizing modi after conversation min told him about all efforts present government convinced him feeling very proud,1
wait for result and president will invite chmodi form minority govt,0
swacha bharat abhiyaan but not swacha space orbit apnaa kooda dusre darwaaje fenko good thats why this test was not required just show off our dear modi,1
youll vote for which party know modi didnt well the economic front but have any better alternative dont think,1
modi kept his promise giving land for nano project days ratan tata,0
this pales comparison kejriwals iconic defeat shiela dixit from new delhi constituency his valiant challenge modi from varanasi,1
who violated the constitution while office again violates his office guv him governor singh says bjp must win important for nation have modi,1
modi wave everything possible without questioning how and but,0
ohhhthis main reason behind hate for modi daruplaneparty,-1
why didn mms give clearance carry out this test phat gayi thi duniya kya bolegi modi has the courage ahead certainly deserves credit for the will this,1
should the government not respond critical issues because elections narendra modi arnab goswami tune watch here,0
yes the reason saffron tertorism corrupt and terrorist prime minister modi who did blood bath gujrat kashmir and pulwama,-1
everything takes time you have lose your pride you have lose your mind just find your peace mind you gotta trust the signs,0
the irony all modi supporters twitter requesting people vote for development not personal issues but many are fighting amongst themselves this platform have you witnessed opposition supporters doing that time keep ego aside and join hands,1
lok sabha elections 2019 modi addresses rally odisha urmila matondkar joins congress follow live updates here,1
violated rudrapur meet states army pak raid even after restrains use related mentions campaign move revoke modi seat nomination,0
you are not with modi you are antiindia not angry with such dumb bhakts dismayed they need treatment,-1
life liberal when govt banned cow slaughter india liberal america moon par pahunch gaya abhi gau mootra par atke hue hain namo announces success  missile liberal space mat ghumao modi saal kya kiya batao,1
becomes prime minister for years once again modi will become the prime minister,0
please make efforts have rally kapadwanj are keen see him and welcome him kapadwanj remember lastly saw him college ground when modi sir came kapadwanj for gujarat vidhan sabha campaign ,1
now another observation when today getting disturbing genuine reports not the fake media bhakhts one that hes actually not winning all strike strike today changed track emotional card not responsible for the strikes its the army salute,-1
there limit falling low isro has been existence for ages but this shameless modi does not stop taking credit for everything tomorrow mitron yeh suraj nikalta hai woh hamare hukm nikalta hai aap dekha hoga uska rang bhagwa hota hai,0
election coming soon what happens next modi rahul 2019,0
abe desh bechne achha hai tshirt becho and you are right this time also ppl will deliver they will again ealect,1
all over india its narendra modi candidate for that constituency and shri amit shah will steer the bjp for thumping majority the coming lok sabha elections,0
one day modi will tie you with missile and send you satellitebut will not disclose with anyone,0
looks like modi has asked agencies not worry abt election results files chargesheet against gautam khaitan his wife money laundering case,0
modi magic more controversymodal code conduct modi hai mumkin hai the man knows neither can congrats nor can oppose,1
modi can form gov but need new supporter,1
modi remain not only important but indispensable indias future,1
totally failure modi sarkar,-1
story,0
modi literally repeated the exact figures sugarcane dues cleared yogi sarkar meerut rally right now havent lost touch with data providing exact info since 2014,1
chk out the unemployment stats during modi ruling era why does keep mum wen asked abt bcoz this the reason look the stat ive attached below,0
actors cant trusted you all lean towards your remuneration and not bjp modi,0
supporter tejashwi but after announcement that gave ticket rapists family shame youlet the modi defeated but the issue humanity already has been defeated anyway best wishes,1
from protecting girl child promoting women entrepreneur modi government has been true supporter women empowerment ,1
deshmukh saying modi will form govtnot majority but they will form govt,0
often wondering off late why the marketing campaigns are low showcasing acheivements high jingoism after all modi government incumbent one may because the answers are obvious nda confident what will sell,1
modi keeps changing his story gyan yojana every state different message emotionally uplift that state just for votes and never for national good unity,1
thats all sarkars including modi sarkar ayurveda should removed from this department,0
sorry swati dont agree joshi advani are hard core sanghis shatru yashwant sinha agree because they have been publicly opposing modi since long time now yashwant has been vocal despite jayant being modi minion minister,-1
request everyone join campaigning for modi jamkhandi,0
sir you are giving repeated warnings about such people even writing letters modi but not listening you,0
has biased view for bjp and modi even when they were not power how his views and economics matterhe known for his divisive ideology mixing red with blue colors may suitable for urban naxals but seriously not for progressive society,1
with the modi chant there should not any crime india right,1
legal proof modi visiting after the bogie was burnt electrical wire fault accidental burnt train compartment godhara gujrat,1
can any one tell modi has hidden 4lakh crore expenses and loan did add fiscal deficit per cag,-1
ohh wow undeclared emergency still rahul gandhi not jail modi should put all people opposition jail just like gandhi grandmother did just because somebody can rise and become leader and people now raising voice doesn make emergency,1
modi should again all are bjp workers says rajasthan governor kalyan singh sparksrow,0
accuses modi neglecting dont find any difference between priyanka both are morons modi stays for days despite his hectic schedule monitor ongoing worksrg never comes amethi twhether production gold his aloo factory,-1
congres person telling from where the money will come for  but there govt they dont have money for but now they are not the govt but they will this why they know because modi doing well for india growth,0
nation want modi all news channel knows that,0
enjoy the articles,1
yeah just want exhaust terrorism not exhaust pak peoples,0
lok sabha elections 2019 narendra modi rahul gandhi bjp congress war words,0
only count your time study physics storm brewing and the bastard judges will judged peoples court nobody can escape the wrath aggrieved population including corrupt judges just make modi win 400 seats thanks for writing,1
negative people will show only negativity our leader tejasvi surya had said are with modi are true patriots,1
modi sir wanted accounts shown him polavaram and babu didnt show him shah not given money yeh kya saab not kirana shop give you account betn state govt centre and concerned depts will check and not accounts will given shah,0
this man the congress primeministrial candidate and campraing himself with modi bakshi sir papu pagala hogaya 72k ganit mein,0
the bio she has written dentist puts the hashtag maibhi berozgar should rather mai bhi chutiya just pappujust like pakis tweeted back modi mentally berojgar people with jobs pretending they dont have jobs pappu level infinity,-1
modi your tweets facebook posts instagram messages should audience their local languages bjp cell can create language specific accounts run them your message reaches more vernacular audience short video clips via whatsapp are effective,1
bhai jumlewale says they have several lakhs crores black money and they will install bjp govt delhi led modi goa can repeated reply karoge maam plz,-1
his party and party govts have been supporting all the tax rates rules all along real life nirav modi was able commit fraud because poor operational processes risk management pnb and poor oversight rbi that audits banks yet didnt catch the issue years,1
bootlickers congress again trying give credit nehru and fake gandu parivar for something that bjp did tell did congis have balls give green signal drdo for test not then credit actually goes modi for showing political will,-1
nirav modi vijay mallya share same jail cell mocks judge,-1
muslim dominated constituency which hindus minoritydividing starting once again fight between south north indiasafe seat saying that modi divided ppl name clothfoodlanguage they choosed this seatlooser,0
think modi should promise similar thing that the only way out greedy people will vote against bjp have seen that recent assembly elections,0
wish non congress non bjp govt centre also feel modi wave non existent this time,0
commodi modi velit autem epcot magickingdom,0
modis speech was also based that assumptionknowledge,0
when are you interviewing narendra modi like arnab goswami,0
why much unemployed india blame modi now,1
chup modi chamche maanu chancellor nikal diya modi opposer you are black sheep among muslims community opportunist,-1
our scientists have successfully shot down low earth orbit satellite 300 away space modi become the fourthafter russia china,1
think you have not understood modi not getting desperate mentioned facts they are terrorists attacked pulwama show modi his place and the opposition question him when retaliated and they got some browny pints with pak media,-1
what has changed india since modi instead sonia gandhi garibi hatao yojna named nyay this not change,0
could have tagged modi,0
even they dont have guts face question nation they are just happy with corruption and doing nothingmodi best person all time,1
really this how low they can just because modi coming back again 2019 hell with pakistan,1
why modi not taking pok back,0
socalledreasons hate modi statement modi fascist realty modi been able bridge the gap betwn the religious sentiments the communities and growng its popularity create diversion mke ppl thnk veotherwise,-1
